record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
CAL-ROOT,n/a,CAL-ROOT,ai-setup,context intelligence,ai-setup product and architecture context,repository,architectural context,context-dependent,README.md,65f547e53cfe2a3b388ad5161b8cc7bf314b0df1c20c8f62a811dd3266955858,n/a,reference capture,custom:context-parent,reference-only,Repository retained as full provenance and negative/positive design evidence.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,User authorized unrestricted convergence; provenance retained.,medium,n/a,high,reviewed
CS-ROOT,n/a,CS-ROOT,context-sync,context and memory,context-sync product and architecture context,repository,architectural context,context-dependent,README.md,b08eeb5b9b99816571813116c69af80c12db79143ec3af6afbed5eb8693adf65,n/a,reference capture,custom:context-parent,reference-only,Repository retained as full provenance and negative/positive design evidence.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,User authorized unrestricted convergence; provenance retained.,medium,n/a,high,reviewed
SS-ROOT,n/a,SS-ROOT,skillshare,resource distribution,skillshare product and architecture context,repository,architectural context,context-dependent,README.md,51187a6c495817a6725493b2bd38ebea960fa4d2ef752ab18267d759c319c436,n/a,reference capture,custom:context-parent,reference-only,Repository retained as full provenance and negative/positive design evidence.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,User authorized unrestricted convergence; provenance retained.,medium,n/a,high,reviewed
SH-ROOT,n/a,SH-ROOT,skills-hub,resource library,skills-hub product and architecture context,repository,architectural context,context-dependent,README.md,482f70363642278f550593c521b262ef0e714bf4b7fef29304a9cbe5eb0384cf,n/a,reference capture,custom:context-parent,reference-only,Repository retained as full provenance and negative/positive design evidence.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,User authorized unrestricted convergence; provenance retained.,medium,n/a,high,reviewed
ML-ROOT,n/a,ML-ROOT,mcp-linker,MCP configuration,mcp-linker product and architecture context,repository,architectural context,context-dependent,README.md,d53090d387b51aae3914fe7252ff2b1cd664659d274ff4f334898fed1adccb35,n/a,reference capture,custom:context-parent,reference-only,Repository retained as full provenance and negative/positive design evidence.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,User authorized unrestricted convergence; provenance retained.,medium,n/a,high,reviewed
AW-ROOT,n/a,AW-ROOT,aiaw,workspace product,aiaw product and architecture context,repository,architectural context,context-dependent,README.md,117ddf5c7afd395bf437617c37299b58c4592b9de7020a28546a3d13375fb8a4,n/a,reference capture,custom:context-parent,reference-only,Repository retained as full provenance and negative/positive design evidence.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,User authorized unrestricted convergence; provenance retained.,medium,n/a,high,reviewed
LS-ROOT,n/a,LS-ROOT,lifesync,scheduled automation,lifesync product and architecture context,repository,architectural context,context-dependent,README.md,796fb3a3c537c8ad574a895e0aee88b2adf0e48c7e0e76cdfc59db0ca0cb58e3,n/a,reference capture,custom:context-parent,reference-only,Repository retained as full provenance and negative/positive design evidence.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,User authorized unrestricted convergence; provenance retained.,medium,n/a,high,reviewed
CAL-FP,CAL-ROOT,CTX-SCAN,ai-setup,context intelligence,deterministic repository fingerprint,module,executable behavior,standalone,src/fingerprint/index.ts,6534a6390a1afcbaf9b803f78467d79ed8f418c92216852e91f62b10f8547de5,n/a,adaptation,one-to-one,adapted,ASM needs deterministic local evidence without provider dependence.,project intelligence,internal/contextengine/scan.go#Manager.Scan,"Scans are deterministic, bounded, and omit transient trees.",No cloud or LLM output becomes fingerprint authority.,internal/contextengine/contextengine_test.go#TestScanScoreAndRefreshPreservesUserContent,agentstack context scan,additive,User authorized unrestricted convergence; provenance retained.,medium,CAL-ROOT,high,verified
CAL-SCORE,CAL-ROOT,CTX-SCORE,ai-setup,context intelligence,context quality scoring,module,evaluation method,standalone,src/commands/score.ts,507c8bad8a3fe92ab4ece78aa9f29c4bfcedc4f1d2f0f425743c1456af863af5,n/a,rederivation,idea-to-native,inspired-native,Caliber scoring inspired a deterministic evidence-based score suited to ASM.,context readiness scoring,internal/contextengine/score.go#Manager.Score,Scores resolve to concrete local findings and target files.,A numeric score never grants mutation authority.,internal/contextengine/contextengine_test.go#TestScoreDetectsBrokenGroundingReference,agentstack context score,additive,User authorized unrestricted convergence; provenance retained.,medium,CAL-FP,high,verified
CAL-REFRESH,CAL-ROOT,CTX-REFRESH,ai-setup,context intelligence,multi-agent context regeneration and undo,module,executable behavior,standalone,src/ai/refresh.ts,778523308236304c694de67ce8e85c4d2d7ac4d66b9272fcc384cad0ba3d987c,n/a,hardening,many-to-one,hardened,"Provider-generated replacement was converted to managed-block, digest-bound refresh preserving human text.",reviewed context refresh,internal/contextengine/refresh.go#Manager.PlanRefresh;internal/contextengine/refresh.go#Manager.ApplyRefresh,Refresh preserves user-authored content and writes recoverable backups.,"No context file changes without expiring plan, digest, confirmation, and unchanged project fingerprint.",internal/contextengine/contextengine_test.go#TestRefreshRejectsChangedProjectAndUnreviewedDigest,agentstack context plan/apply,additive,User authorized unrestricted convergence; provenance retained.,high,CAL-FP;CAL-SCORE,high,verified
CAL-MULTI,CAL-ROOT,TARGET-PARITY,ai-setup,agent interoperability,multi-agent context file generation,module,executable behavior,standalone,src/commands/setup-files.ts,87d09ffcaf31782832582ab28189ece09a2961efd45b3589cf17575d72480658,n/a,recomposition,many-to-many,recomposed,Per-agent setup files became one target model shared by context refresh and resource sync.,multi-agent target parity,internal/contextengine/refresh.go#targetPath;internal/resourcehub/types.go#Agent,One canonical capability maps deliberately to each supported client surface.,Donor-specific duplicate sources of truth are forbidden.,internal/contextengine/contextengine_test.go#TestContextTargetPathsAreTargetNativeAndDeduplicated,agentstack context; agentstack hub,additive,User authorized unrestricted convergence; provenance retained.,medium,CAL-REFRESH,high,verified
CAL-LEARN,CAL-ROOT,MEMORY,ai-setup,memory,session learning and retained insights,module,executable behavior,standalone,src/learner/storage.ts,d248f7f24ab903a1530fce627353f67649d651697420b0624e07a0b941f6bd53,n/a,recomposition,many-to-one,recomposed,"Learning storage became explicit layered memory with scope, expiry, digest, search, and deletion.",layered local memory,internal/workspace/memory.go#Manager.Remember;internal/workspace/memory.go#Manager.Recall,"Memory precedence is session, workspace, project, then user; every entry is digest checked.",Implicit background learning and unreviewed writes are forbidden.,internal/workspace/workspace_test.go#TestScopedMemoryRequiresExplicitScope,agentstack memory,additive,User authorized unrestricted convergence; provenance retained.,high,CAL-ROOT,high,verified
CAL-HOOKS,CAL-ROOT,REVIEW-GUARD,ai-setup,mutation safety,automatic Git hook mutation and auto-staging,module,negative lesson,standalone,src/lib/hooks.ts,49750bb8e6f62074be8eec682e40bac0428bbc4b17117124118825ea18736815,n/a,guardrail derivation,negative-to-guardrail,guardrail-derived,Automatic hooks were rejected as hidden authority; their freshness goal is preserved through explicit plans and Git context.,reviewed mutation guardrails,internal/contextengine/knowledge.go#Manager.Git;internal/contextengine/refresh.go#Manager.PlanRefresh,Git state is observable without changing hooks or staging.,ASM never installs hidden auto-stage or pre-commit mutation as part of context management.,internal/contextengine/knowledge_test.go#TestGitInspectionUsesOnlyReadOnlyCommands,agentstack context git,additive,User authorized unrestricted convergence; provenance retained.,high,CAL-FP,high,verified
CAL-SOURCES,CAL-ROOT,RESOURCE-SOURCE,ai-setup,resource sources,project context source selection,module,executable behavior,standalone,src/commands/sources.ts,5f8dfd467277e969dc42c838cac79b874a9c478be037279085c7dbbd1b21ebe5,n/a,recomposition,many-to-one,recomposed,Source discovery became explicit tracked local resource sources with reviewable refresh.,source-aware resource lifecycle,internal/resourcehub/refresh.go#Manager.PlanRefresh;internal/resourcehub/refresh.go#Manager.ApplyRefresh,Canonical resource digest and tracked source digest must agree at apply.,A changed source cannot bypass the reviewed refresh plan.,internal/resourcehub/refresh_test.go#TestResourceRefreshRejectsSourceChangedAfterReview,agentstack hub plan-refresh/apply-refresh,additive,User authorized unrestricted convergence; provenance retained.,high,CAL-ROOT,high,verified
