record_id,parent_record_id,source,source_sha256,source_lines,primitive,disposition,target_nodes,invariant,negative_invariant,test_nodes,validation_status
FABRIC-ROOT,n/a,all-five-reports,multiple,331+501+615+699+1087,ASM Agent Stack Fabric architecture,reference-only,docs/convergence/FABRIC_PHASE1.md,One Go authority retains reviewed mutation and runtime ownership,No donor runtime or file synchronizer becomes a second authority,go test ./...,reviewed
FABRIC-CANONICAL,FABRIC-ROOT,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,versioned canonical artifact envelope,implemented,internal/artifactgraph/model.go,Canonical IDs content references provenance security classes and extension data are digest-bound,Unknown target data cannot be silently discarded,internal/artifactgraph/model_test.go,verified
FABRIC-STRICTJSON,FABRIC-CANONICAL,deep-research-report (5).md,e1ebb6fa88db2c0c77d9b5cd828b9da4f907fea4fef3b63271b5b483ee016103,501,deterministic unknown-extension preservation,implemented,internal/strictjson/decode.go#Canonicalize,Equivalent JSON produces stable bytes without numeric precision loss,Duplicate keys and trailing JSON cannot enter canonical extension state,internal/strictjson/decode_test.go#TestCanonicalizeSortsObjectKeysAndPreservesLargeNumbers;internal/strictjson/decode_test.go#TestCanonicalizeRejectsDuplicateKeysAndTrailingContent,verified
FABRIC-RH-BRIDGE,FABRIC-CANONICAL,deep-research-report (1).md,cc097db3aa58c5b6427f3cf93f00259d9fa94dcbe914367ae94b415d47b612a9,699,compatibility-preserving Resource Hub canonical envelope,implemented,internal/resourcehub/artifactgraph.go#Manager.CanonicalSnapshot,Current Resource Hub payloads and digests remain authoritative and are represented without mutation,The graph view cannot rewrite the registry target files plans backups or managed state,internal/resourcehub/artifactgraph_test.go#TestCanonicalSnapshotPreservesResourceIdentityProvenanceAndDigest,verified
FABRIC-CLI,FABRIC-RH-BRIDGE,deep-research-report (3).md,ebc944d58cde07a772507de4be3a713a153c7eea69fac80a4aafd297f79d78c4,615,operator-visible canonical graph inspection,implemented,internal/cli/fabric.go#CLI.runHub,Canonical graph inspection is read-only and machine-verifiable,Graph inspection cannot authorize or apply a mutation,internal/cli/fabric_test.go#TestResourceHubContextAndMCPClientCLI,verified
FABRIC-CAS,FABRIC-CANONICAL,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,immutable content-addressed blob and tree store,implemented,internal/cas/store.go,Blob and tree identities are deterministic digest-bound and recursively verifiable,No symlink traversal special file corruption or unverified existing object is accepted,internal/cas/store_test.go,verified
FABRIC-CAS-MARKS,FABRIC-CAS,deep-research-report (9).md,c64fff816a40d4a3e66db307d57ee83631317778f9a333373274e06af59d8c74,1087,garbage-collection reachability marks,implemented,internal/cas/store.go#Store.Reachable,Reachable object closure is deterministic and complete,This phase never deletes CAS objects,internal/cas/store_test.go#TestStorePutTreeDeduplicatesVerifiesAndMaterializes,verified
FABRIC-ASM-V1-STAGE,FABRIC-CAS,deep-research-report (1).md,cc097db3aa58c5b6427f3cf93f00259d9fa94dcbe914367ae94b415d47b612a9,699,reversible Resource Hub shadow migration stage,implemented,internal/migrations/asmv1/stage.go,Every staged resource round-trips to its legacy digest and the receipt binds source and staged graph identities,Staging cannot transfer authority or accept stale source state,internal/migrations/asmv1/stage_test.go,verified
FABRIC-CAS-CLI,FABRIC-ASM-V1-STAGE,deep-research-report (3).md,ebc944d58cde07a772507de4be3a713a153c7eea69fac80a4aafd297f79d78c4,615,operator-visible CAS stage verify and restore workflow,implemented,internal/cli/fabric.go#CLI.runHub,Receipts are strict bounded inputs and restore targets are new verified paths,Restore cannot overwrite or run without explicit confirmation,internal/cli/cas_test.go,verified
FABRIC-STRICTJSON-MARSHAL,FABRIC-STRICTJSON,deep-research-report (5).md,e1ebb6fa88db2c0c77d9b5cd828b9da4f907fea4fef3b63271b5b483ee016103,501,typed canonical JSON serialization,implemented,internal/strictjson/decode.go#MarshalCanonical,Typed metadata rows use the same deterministic JSON admission as extension payloads,Database persistence cannot bypass duplicate-key and trailing-value rules,internal/strictjson/decode_test.go#TestMarshalCanonicalSortsNestedMaps,verified
