path,classification,authority_status,record_ids,notes
internal/cas/store.go,implementation,new-immutable-shadow-authority,FABRIC-CAS;FABRIC-CAS-MARKS,Owns only immutable CAS blobs tree manifests verification reachability and restore-to-new-path.
internal/cas/store_test.go,test,acceptance-evidence,FABRIC-CAS;FABRIC-CAS-MARKS;FABRIC-CAS-CLI,Positive negative corruption and no-overwrite evidence.
internal/migrations/asmv1/stage.go,implementation,non-authoritative-migration-evidence,FABRIC-ASM-V1-STAGE,Stages and verifies Resource Hub v1 without changing its authority.
internal/migrations/asmv1/stage_test.go,test,acceptance-evidence,FABRIC-ASM-V1-STAGE,Round-trip stale-source and tamper evidence.
internal/resourcehub/manager.go,implementation,existing-authority-read-bridge,FABRIC-ASM-V1-STAGE;FABRIC-RH-ADAPTER-PLAN,Exports a bounded resource content path without changing write ownership. Accepts an injected reviewed adapter registry without transferring mutation ownership.
internal/resourcehub/fs.go,implementation,existing-authority-read-bridge,FABRIC-ASM-V1-STAGE,Exports the legacy semantic digest for migration verification.
internal/app/fabric.go,implementation,service-orchestration,FABRIC-CAS-CLI;FABRIC-SQLITE-CLI;FABRIC-ADAPTER-CLI;FABRIC-ADAPTER-CONFORMANCE-CLI;FABRIC-EXTERNAL-CLI,Uses the shared fabric lease for CAS writes and restore while keeping verification read-only; combines CAS staging SQLite transaction and current-authority verification under one Fabric lease. Exposes capability inspection without mutation. Runs the embedded corpus with synthetic path context and no target I/O. Creates only synthetic external-conformance paths and never registers the admitted executable.
internal/cli/fabric.go,operator-surface,non-authoritative-adapter,FABRIC-CAS-CLI;FABRIC-SQLITE-CLI;FABRIC-ADAPTER-CLI;FABRIC-RH-ADAPTER-PLAN;FABRIC-ADAPTER-CONFORMANCE-CLI;FABRIC-EXTERNAL-CLI,Strict bounded receipt admission and explicit restore confirmation; exposes stage inspect verify and confirmed backup without authority promotion. Adds hub adapters and deny-loss planning. Emits the complete report before returning non-zero on failed conformance. Adds pinned external conformance with exact arguments deadline and complete sealed output.
internal/cli/cas_test.go,test,acceptance-evidence,FABRIC-CAS-CLI,End-to-end CLI evidence.
internal/cli/cli.go,operator-surface,help-only,FABRIC-CAS-CLI;FABRIC-SQLITE-CLI;FABRIC-ADAPTER-CONFORMANCE-CLI,Documents the new hub commands; documents SQLite shadow commands. Lists the read-only conformance command.
